Date,Open,High,Low,Close
2018-01-01,10983.51,10993.35,10887.11,10902.6
2018-01-02,10932.14,10950.3,10856.95,10891.2
2018-01-03,10927.1,10961.44,10884.3,10893.89
2018-01-04,10930.53,10967.02,10893.76,10958.75
2018-01-05,10978.28,11031.15,10977.14,11021.69
2018-01-08,11043.29,11099.22,11043.29,11089.03
2018-01-09,11110.87,11128.93,11075.67,11105.85
2018-01-10,11132.13,11142.34,11066.76,11099.28
2018-01-11,11110.38,11136.4,11087.12,11118.83
2018-01-12,11141.25,11162.38,11063.11,11146.29
2018-01-15,11176.57,11257.71,11176.5,11211.49
2018-01-16,11227.52,11243.74,11163.39,11175.27
2018-01-17,11175.34,11277.37,11139.29,11265.1
2018-01-18,11340.73,11372.73,11252.66,11287.45
2018-01-19,11312.71,11382.72,11271.92,11370.96
2018-01-22,11399.55,11460.01,11365.93,11451.42
2018-01-23,11477.89,11575.23,11476.78,11565.5
2018-01-24,11574.48,11601.73,11534.3,11570.11
2018-01-25,11583.81,11594.59,11479.58,11539.81
2018-01-29,11557.24,11657.2,11554.22,11604.76
2018-01-30,11603.11,11608.78,11517.09,11528.6
2018-01-31,11509.49,11538.79,11460.97,11506.88
2018-02-01,11533.76,11594.85,11350.46,11492.93
2018-02-02,11433.48,11438.44,11203.17,11223.13
2018-02-05,11116.2,11163.93,11048.93,11131.25
2018-02-06,10818.93,11044.54,10725.58,10948.3
2018-02-07,11065.22,11097.38,10895.48,10918.68
2018-02-08,10954.24,11090.78,10927.9,11026.92
2018-02-09,10895.4,10933.58,10847.23,10910.74
2018-02-12,10968.86,11008.4,10939.17,10992.24
2018-02-14,11038.41,11048.56,10914.96,10955.5
2018-02-15,10975.31,11078.19,10968.31,11003.66
2018-02-16,11043.34,11075.14,10889.72,10904.87
2018-02-19,10918.77,10937.49,10752.39,10824.48
2018-02-20,10861.31,10888.22,10801.5,10814.84
2018-02-21,10850.86,10880.61,10810.22,10856.65
2018-02-22,10844.21,10856.47,10805.01,10839.48
2018-02-23,10848.71,10954.76,10848.1,10947.46
2018-02-26,10977.6,11058.75,10977.59,11048.06
2018-02-27,11083.37,11104.69,11007.74,11017.7
2018-02-28,10951.23,10999.13,10931.07,10959.52
2018-03-01,10947.99,10992.04,10909.91,10920.73
2018-03-05,10914.35,10914.41,10785.71,10816.08
2018-03-06,10901.72,10904.87,10668.97,10700.26
2018-03-07,10687.8,10707.23,10600.31,10613.1
2018-03-08,10675.06,10726.48,10603.45,10697.36
2018-03-09,10728.87,10752.06,10666.17,10683.77
2018-03-12,10734.19,10892.08,10734.19,10879.19
2018-03-13,10849.57,10940.36,10840.66,10883.81
2018-03-14,10850.37,10892.91,10805.32,10880.17
2018-03-15,10878.81,10889.64,10813.59,10828.17
2018-03-16,10829.21,10830.25,10647.63,10664.19
2018-03-19,10688.8,10690.61,10538.29,10560.97
2018-03-20,10534.2,10616.06,10513.59,10583.97
2018-03-21,10618.12,10696.93,10595.42,10620.28
2018-03-22,10640.38,10671.73,10565.28,10578.02
2018-03-23,10461.6,10490.21,10413.62,10457.25
2018-03-26,10441.43,10615.71,10423.48,10598.48
2018-03-27,10639.12,10699.15,10611.3,10651.19
2018-03-28,10627.49,10631.61,10575.6,10591.7
2018-04-02,10616.31,10693.46,10600.98,10683.88
